08092020150120,4,0.5,0.5,0.5,0.5,256,64,4,yes,0.0059523810632526875,1.975076726180881e-18,0.0059523810632526875,1.975076726180881e-18,1.0,1.0,9.838214464252815e-05,5.357738795514479e-23,9.838214464252815e-05,5.357738795514479e-23,1.0,1.0,1.0,1.0,1.0
08092020150334,4,0.25,0.75,0.5,0.5,256,64,4,yes,0.004291845485568047,1.987704051821809e-18,0.004291845485568047,0.0,1.0,1.0,1.0457124710083008,0.0,1.0457125902175903,0.0,0.9999998860018606,2.0,0.6666666666666666,3.0,0.3333333333333333
08092020164608,4,0.4,0.6,0.5,0.5,256,64,4,yes,0.0212510097771883,3.892834683938418e-06,0.0015394038055092096,4.4621207770378923e-13,13.804701340308052,13.610018730163574,16.62548828125,2.382625102996826,1.20433509349823,2.730847654675017e-07,13.804703002515666,1.25,0.8333333333333334,1.5,0.6666666666666667
08092020165111,4,0.4,0.6,0.5,0.5,256,64,4,yes,0.019425002858042717,2.348275814726959e-15,0.002008486306294799,5.698734639736358e-06,9.671463926422001,9.721606254577637,19665.646484375,0.0023816425818949938,2033.367919921875,5840809.0,9.671464908884067,1.25,0.8333333333333334,1.5,0.6666666666666667
08092020165458,4,0.4,0.6,0.5,0.5,256,64,4,yes,0.010101011022925377,1.4216270114471156e-17,0.010101011022925377,0.0,1.0,1.0,0.14753830432891846,3.639365149304616e-15,0.14753830432891846,3.616155176000427e-15,1.0,1.25,0.8333333333333334,1.5,0.6666666666666667
08092020165703,4,0.4,0.6,0.5,0.5,256,64,4,yes,0.022852260619401932,1.2045574294461403e-05,0.0021576061844825745,1.56174294958962e-13,10.591488281668157,10.433656692504883,34.7032470703125,27.778532028198242,3.276521921157837,3.6007955372951983e-07,10.591489361392487,1.25,0.8333333333333334,1.5,0.6666666666666667
08092020170223,1,0.4,0.6,0.5,0.5,256,64,4,yes,0.010101009160280228,8.017235501752795e-18,0.010101009160280228,8.818177531685334e-19,1.0,1.0,191.74290466308594,1.1717045111936386e-08,191.7428741455078,2.130400300615065e-09,1.0000001591588645,1.25,0.8333333333333334,1.5,0.6666666666666667
08092020170422,1,0.4,0.6,0.5,0.5,256,64,4,yes,0.017627013847231865,0.00011345615348545834,0.003298661205917597,6.437707473632174e-15,5.343687255790343,5.458212852478027,0.009516393765807152,3.3068572520278394e-05,0.0017808667616918683,1.876782759692615e-15,5.343686552252982,1.25,0.8333333333333334,1.5,0.6666666666666667
08092020180840,1,0.4,0.6,0.5,0.5,256,64,4,yes,0.020416200160980225,3.846361505566165e-05,0.0015050192596390843,1.1633949554062287e-17,13.56540790439864,12.766827583312988,0.0044911764562129974,1.8613177417137194e-06,0.00033107565832324326,5.386650296769952e-19,13.565408218045649,1.25,0.8333333333333334,1.5,0.6666666666666667
09092020152406,1,0.4,0.6,0.5,0.5,256,64,4,yes,0.010101010091602802,0.0,0.010101010091602802,3.519728779848875e-18,1.0,1.0,0.004417795687913895,3.593355712581914e-18,0.004417795687913895,3.519728779848875e-18,1.0,1.25,0.8333333333333334,1.5,0.6666666666666667
09092020162335,1,0.4,0.6,0.5,0.5,256,64,0,yes,0.010101010091602802,3.568574208610438e-18,0.010101010091602802,8.813514300982066e-19,1.0,1.0,0.02030671015381813,3.568574208610438e-18,0.02030671201646328,3.5254057203928265e-18,0.9999999082744095,1.25,0.8333333333333334,1.5,0.6666666666666667
09092020163522,1,0.4,0.6,0.5,0.5,256,64,0,yes,0.010101010091602802,8.011683465481339e-18,0.010101011022925377,0.0,0.9999999077990736,1.0,0.002336184959858656,5.007302165925837e-19,0.002336184959858656,2.2051570135625056e-19,1.0,1.25,0.8333333333333334,1.5,0.6666666666666667
